02/01/2021-23:00:11 | Sensor value: 37017 | Plants got NO water!
02/01/2021-23:30:11 | Sensor value: 37097 | Plants got NO water!
03/01/2021-00:00:11 | Sensor value: 37081 | Plants got NO water!
03/01/2021-00:30:11 | Sensor value: 37593 | Plants got NO water!
03/01/2021-01:00:11 | Sensor value: 37609 | Plants got NO water!
03/01/2021-01:30:12 | Sensor value: 37337 | Plants got NO water!
03/01/2021-02:00:12 | Sensor value: 37337 | Plants got NO water!
03/01/2021-02:30:12 | Sensor value: 37705 | Plants got NO water!
03/01/2021-03:00:12 | Sensor value: 37417 | Plants got NO water!
03/01/2021-03:30:12 | Sensor value: 37449 | Plants got NO water!
03/01/2021-04:00:12 | Sensor value: 37705 | Plants got NO water!
03/01/2021-04:30:12 | Sensor value: 37817 | Plants got NO water!
03/01/2021-05:00:12 | Sensor value: 37577 | Plants got NO water!
03/01/2021-05:30:12 | Sensor value: 37353 | Plants got NO water!
03/01/2021-06:00:12 | Sensor value: 37481 | Plants got NO water!
03/01/2021-06:30:12 | Sensor value: 37673 | Plants got NO water!
03/01/2021-07:00:12 | Sensor value: 37657 | Plants got NO water!
03/01/2021-07:30:12 | Sensor value: 37257 | Plants got NO water!
03/01/2021-08:00:12 | Sensor value: 37241 | Plants got NO water!
03/01/2021-08:30:12 | Sensor value: 37865 | Plants got NO water!
03/01/2021-09:00:12 | Sensor value: 37417 | Plants got NO water!
03/01/2021-09:30:13 | Sensor value: 37737 | Plants got NO water!
03/01/2021-10:00:13 | Sensor value: 37449 | Plants got NO water!
03/01/2021-10:30:13 | Sensor value: 37193 | Plants got NO water!
03/01/2021-11:00:13 | Sensor value: 37289 | Plants got NO water!
03/01/2021-11:30:13 | Sensor value: 37305 | Plants got NO water!
03/01/2021-12:00:13 | Sensor value: 37721 | Plants got NO water!
03/01/2021-12:30:13 | Sensor value: 37593 | Plants got NO water!
03/01/2021-13:00:13 | Sensor value: 37673 | Plants got NO water!
03/01/2021-13:30:13 | Sensor value: 37161 | Plants got NO water!
03/01/2021-14:00:13 | Sensor value: 37657 | Plants got NO water!
03/01/2021-14:30:13 | Sensor value: 37145 | Plants got NO water!
